Date,BNDX,EMB,MUB,VAW,VEA,VHT,VWO,EFA,EEM,VGIT
11/21/2014,45.63853455,36.65243912,52.60024643,83.07142639,93.66333008,99.02062988,32.44790268,56.8580246,113.7245483,35.94296265
11/24/2014,45.62117386,36.35017014,52.90538788,83.08595276,93.69752502,98.7745285,32.60402298,56.87568665,114.5321579,35.66782761
11/25/2014,45.76011658,36.11698914,52.99610519,83.10779572,93.71459961,98.54599762,32.67796326,56.95514679,114.6138,35.43436813
11/26/2014,45.80351639,36.57471085,53.20228577,83.38469696,93.85997009,98.62510681,32.8094368,57.0434227,115.4123306,35.80121613
11/28/2014,45.82087326,35.84064102,52.7734375,82.91832733,93.97970581,96.29592133,32.54650116,57.1493721,115.9476929,35.15922928
12/1/2014,45.90349197,35.22744751,52.72395325,82.41156006,93.94799042,95.36425781,32.49720001,57.11666107,115.4758453,34.51724243
12/2/2014,45.80784988,35.21881104,52.87240601,82.37496185,93.91371155,95.92676544,32.58758545,56.93983078,116.7370987,34.50056839
12/3/2014,45.81652832,35.31381607,52.80641937,82.49201202,94.03367615,97.53523254,32.5382843,56.91329193,117.018425,34.67565918
12/4/2014,45.79043579,35.37427139,52.63323593,82.58707428,94.09367371,97.60552979,32.4889679,57.00172806,116.8551025,34.63397598
12/5/2014,45.64260101,35.30517578,52.74869156,82.26530457,94.00789642,97.68465424,32.5547142,56.75416565,117.7534027,34.60895538
12/8/2014,45.71217346,34.78699875,52.2868576,81.67292786,94.03367615,96.17287445,32.26713562,56.8160553,118.1799088,34.05034256
12/9/2014,45.79914474,34.45882416,52.00645828,81.42427826,94.23935699,96.62113953,32.08636093,56.93983078,117.9893417,33.66682816
12/10/2014,45.92959976,33.9492836,51.34667587,80.64910889,94.38503265,94.45016479,31.66729736,57.13433456,116.047493,33.18324661
12/11/2014,45.91220856,33.66427994,51.28070831,80.21761322,94.29930878,94.4150238,31.63443947,57.0459137,116.4739685,32.87476349
12/12/2014,45.97307205,33.11156082,50.29104614,79.17916107,94.48788452,91.89246368,31.05104828,57.32003021,114.7590179,32.38284302
12/15/2014,46.03396606,32.63656616,49.45808411,78.03096771,94.31646729,91.21570587,30.57447815,57.14316177,113.5612259,31.73253441
12/16/2014,46.12963104,32.5847435,49.81271744,77.54833984,94.46212769,90.82016754,30.80456161,57.29350281,112.3362427,31.44070625
12/17/2014,46.12963104,33.33377075,50.40815735,79.50092316,94.25646973,93.36908722,31.11678123,57.07244492,114.7136154,32.41619873
12/18/2014,46.07746124,33.7893219,51.30755615,80.60520172,94.23935699,93.5448761,31.67552757,56.88679504,116.5374832,32.91644287
12/19/2014,46.13833618,34.0258522,51.38250351,81.44622803,94.29930878,94.58201599,31.74124908,56.97519684,117.1908112,33.07485962
12/22/2014,46.19920349,34.49891663,51.63233566,81.57785797,94.27359009,94.53807068,31.90661812,56.97519684,116.0565643,33.50529099
12/23/2014,46.16696167,34.18353271,51.46578217,81.25609589,94.28218842,95.31153107,31.75778961,56.72459793,113.4251175,33.23731613
12/24/2014,46.14082336,34.26239014,51.69896317,81.525177,94.28478241,95.15331268,31.89835548,56.73345947,114.2236252,33.30431747
12/26/2014,46.19311142,34.53395844,51.83220291,81.46637726,94.33629608,95.56642151,31.99757385,56.72459793,115.131012,33.53041077
12/29/2014,46.24540329,34.32370758,51.45746231,81.06932068,94.5509491,95.50489807,31.79086876,56.91054916,115.4667664,33.42154312
12/30/2014,46.29765701,34.39379501,50.98276901,81.28991699,94.58529663,95.36425781,31.50975037,56.99911499,114.9314117,33.51366425
12/31/2014,46.27151108,34.42007446,50.66631317,80.66492462,94.73983002,94.38864899,31.31957054,57.10534668,113.9604645,33.51366425
1/2/2015,46.48062515,33.96452713,50.44979095,80.37817383,94.4994278,94.70506287,31.16248894,57.26474762,114.2236252,33.12844849
1/5/2015,46.46318436,33.36005402,49.25891876,79.8635025,94.70545197,92.02431488,30.46796227,57.35330963,113.6610489,32.60087585
1/6/2015,46.56773758,33.21987915,48.70095444,79.61351013,94.97161865,91.19811249,30.12897491,57.53927612,113.1165924,32.44178009
1/7/2015,46.53287888,33.93824768,49.24225998,80.6134491,95.20345306,91.83971405,30.451437,57.60123062,115.8297043,33.18708038
1/8/2015,46.5154686,34.51644897,49.9084816,80.95903778,95.16056061,94.01070404,30.91444588,57.46841431,117.8441391,33.74814224
1/9/2015,46.48933029,34.40254593,49.66697693,80.90756989,95.33230591,93.50973511,30.76561737,57.68094254,117.0365448,33.58065796
1/12/2015,46.59387589,34.12221527,49.55038834,80.43701935,95.44390869,93.19329834,30.73253822,57.82260513,116.9821167,33.27919388
1/13/2015,46.6374321,34.42007446,49.8002243,80.6943512,95.4782486,92.32315063,30.88137627,57.91119385,116.6191788,33.51366425
1/14/2015,46.75069809,34.22733688,49.65864563,81.30460358,95.71870422,91.29481506,30.79869461,58.052845,116.5374832,33.38804626
1/15/2015,46.53287888,34.30618286,49.97509766,81.41491699,95.91613007,90.94322968,30.97231865,58.44245148,115.0675049,33.48855209
1/16/2015,46.80298233,34.59527969,50.62467194,81.47373199,95.75299835,92.43740082,31.31131554,58.13253403,117.2452698,33.82350922
1/20/2015,46.78553772,34.54272079,50.79955673,81.45904541,95.87320709,92.40226746,31.45186424,58.15023422,117.2725067,33.70626831
1/21/2015,46.85525513,35.30488205,51.19929504,81.38549805,95.64139557,93.21089172,31.68337822,58.01742554,117.2452698,34.45996094
1/22/2015,46.79426575,35.9794426,51.39083099,81.13546753,95.60701752,94.51170349,31.7991333,57.8845787,118.7697067,35.18851852
1/23/2015,47.07306671,35.70786667,51.09935379,82.09133148,95.91613007,92.77139282,31.60896111,58.06169891,118.3159866,34.88703918
1/26/2015,47.01208496,35.72538757,51.79889297,81.32666016,95.77017212,93.4042511,32.03063965,58.00857544,119.0782394,34.92892075
1/27/2015,46.96852112,35.53266144,51.87384033,81.90748596,95.89897156,92.70989227,32.05545044,58.07939529,118.3704529,34.74467468
1/28/2015,47.07306671,35.14719009,51.09935379,81.98842621,96.13077545,91.18054199,31.63376808,58.35389709,116.6100998,34.33434677
1/29/2015,47.02949905,35.14719009,51.79889297,82.09867096,96.07928467,92.05071259,32.06371307,58.22106552,117.6173096,34.36783981
1/30/2015,47.0992012,34.18353271,50.98276901,82.17221832,96.25099182,91.83094788,31.54282951,58.52214432,115.8841629,33.4466629
2/2/2015,47.17072296,34.796772,51.59902954,82.25263977,96.17614746,92.60441589,31.95622253,58.48226929,116.3469467,34.04123688
2/3/2015,47.06604385,35.45381927,52.42348099,82.69526672,95.84055328,94.6435318,32.41096878,58.16307068,116.9821167,34.6441803
2/4/2015,47.02243805,35.2786026,51.99043274,82.00179291,95.89216614,94.12496948,32.17947006,58.23398972,115.5302811,34.40971375
2/5/2015,46.93517303,35.48885345,52.70661926,82.43708801,95.72871399,96.26074982,32.51845551,58.16307068,117.5084305,34.66931152
2/6/2015,46.79560471,34.88438797,52.04872513,82.22311401,95.3328476,96.12014008,32.12985611,57.68428421,116.6373062,34.09986877
2/9/2015,46.76942444,34.83181381,51.79889297,82.26741028,95.18659973,95.97075653,31.98103142,57.60447311,115.2671509,34.05799103
2/10/2015,46.6560173,34.7442131,52.27357864,81.6697998,94.93704224,96.64751434,32.25387955,57.52466965,117.1635971,33.99937439
2/11/2015,46.78689575,34.49015808,51.99043274,81.59598541,94.74772644,96.5508194,32.08024597,57.48920822,117.3360062,33.848629
2/12/2015,46.85667038,35.2260437,52.79823685,82.24523926,94.72192383,98.229599,32.57633591,57.61336136,117.871376,34.63580704
2/13/2015,46.76068878,35.62902832,53.14799881,82.44445038,94.61006165,99.15246582,32.80784988,57.50697327,118.4702606,34.98753357
2/17/2015,46.75199127,35.55017853,53.2729187,82.30426788,94.52401733,99.16123962,32.88225174,57.25870895,119.2234192,34.87866592
2/18/2015,46.69090271,35.54141998,53.58937454,82.27474213,94.73911285,99.41614532,33.10549927,57.4715004,119.5137558,34.91215897
2/19/2015,46.70835114,35.3924942,53.6559906,82.03131866,94.61867523,99.5391922,33.12203979,57.36510468,119.6861496,34.80329514
2/20/2015,46.73453522,35.62902832,54.15565872,82.25998688,94.72192383,99.96986389,33.4527626,57.29415512,120.9656219,34.97916031
2/23/2015,46.80433655,35.26984787,53.96412277,82.14932251,94.91983795,99.83804321,33.3204689,57.46261978,121.4646912,34.6441803
2/24/2015,46.87412262,35.7779541,54.29722977,82.53298187,95.09191895,100.1456604,33.51889801,57.69316101,121.2559738,35.121521
2/25/2015,46.97881699,35.70786667,54.33886337,82.90918732,95.06612396,99.89955139,33.55197144,57.75522995,121.473732,35.00428009
2/26/2015,46.98751831,35.71663284,54.18897247,82.8207016,94.86820984,99.33703613,33.46102524,57.54241943,121.8730164,34.97916031
2/27/2015,47.01371002,35.69034958,54.2139473,82.96086884,95.16938019,98.95032501,33.48584366,57.63109207,121.246933,35.00428009
3/2/2015,46.90188599,35.63778687,54.29722977,82.68408203,94.79856873,99.70619965,33.53543091,57.43488312,122.2541122,34.95402908
3/3/2015,46.80582809,35.36620712,53.96412277,82.8320694,94.67784882,99.06455994,33.34526443,57.34607315,121.328598,34.63580704
3/4/2015,46.80582809,34.98074722,53.74759293,82.5064621,94.85030365,98.75694275,33.19643402,57.3815918,121.8457718,34.23386002
3/5/2015,46.86697006,34.92818069,53.87252426,82.49904633,94.75544739,98.36143494,33.30392456,57.4260025,122.5626373,34.16685104
3/6/2015,46.76216888,34.39379501,53.13967133,81.94396973,93.84997559,96.95510101,32.85745621,57.04421997,120.3758011,33.61415482
3/9/2015,46.84949875,34.26239014,53.22294617,81.88474274,94.16905212,97.10454559,32.87398148,57.15963745,120.9202347,33.4801712
3/10/2015,47.01543427,33.50021744,52.06538391,81.56652069,94.53123474,95.55764008,32.18772888,57.30170059,119.8132172,32.78510666
3/11/2015,47.08532715,33.75427246,52.19862747,81.70716095,94.39325714,95.67188263,32.27042007,57.35496902,119.8858032,33.04471207
3/12/2015,47.08532715,33.96452713,52.84818649,81.80338287,94.66917419,96.82329559,32.66727066,57.40823746,121.328598,33.22894669
3/13/2015,47.07659912,33.55278015,52.54006195,81.20384979,94.66917419,95.90923309,32.468853,57.41709137,121.1652679,32.82697678
3/16/2015,46.91939163,33.95576477,53.13134003,80.96704102,94.70371246,95.88284302,32.83264542,57.49702835,123.7331543,33.21220016
3/17/2015,46.85822678,34.34999084,52.99809265,81.07807922,94.75544739,95.01268768,32.79958344,57.54141617,123.479126,33.42154312
3/18/2015,47.07659912,35.19099808,54.13067627,82.14381409,95.32458496,96.52444458,33.47755432,57.99419785,124.8492966,34.28409195
3/19/2015,47.18138885,34.59527969,53.49776459,81.77373505,95.29012299,95.09179688,33.07242584,57.7633934,125.8383408,33.68114471
3/20/2015,47.22505569,35.11216354,54.68031693,82.66188812,95.26421356,95.78614807,33.78347778,57.94982147,126.4735184,34.09986877
3/23/2015,47.20760345,35.21728897,54.9551239,82.88388062,95.38496399,95.82131195,33.94056702,58.03862,126.0016937,34.2003479
3/24/2015,47.19013214,35.35744476,54.83853531,82.92831421,95.53154755,95.54885101,33.90749359,58.15403748,124.9853973,34.33434677
3/25/2015,47.1726799,34.796772,54.58037567,83.13550568,95.35913849,94.49411774,33.7256279,57.95869064,122.4083328,33.73957825
3/26/2015,47.13773346,34.47264099,54.10569382,82.68408203,95.27285767,94.62595367,33.45155716,57.8077774,122.0636063,33.5466423
3/27/2015,47.11152649,34.56900024,54.24726105,82.82468414,95.3677063,94.71385193,33.52630615,57.91432571,123.1887436,33.62213898
3/30/2015,47.13773346,35.23480225,54.2805748,83.0171051,95.27285767,96.05862427,33.55122757,57.96756363,124.5407791,34.31001282
3/31/2015,47.24252701,35.15596008,53.43946075,82.98013306,95.37633514,95.40822601,33.07785416,58.08300018,122.9709778,34.28484726
4/1/2015,47.25653458,35.59398651,53.82254028,83.38708496,95.4256134,95.32032776,33.31039047,58.21813202,121.4374619,34.74622345
4/2/2015,47.16910553,36.12837601,54.28889847,83.80291748,95.27866364,95.46974945,33.55953598,58.13813782,121.7006073,35.28311539
4/6/2015,47.26528168,36.5926857,54.83853531,84.10739136,95.27005005,96.25199127,33.88342285,58.26257324,121.8911591,35.7109375
4/7/2015,47.23029327,36.40870667,54.76359558,83.95146179,95.38236237,96.04983521,33.88342285,58.28035736,122.0817184,35.62705231
4/8/2015,47.29150391,37.17087173,54.99677658,84.345047,95.35647583,96.32229614,34.04120636,58.23590469,123.3157883,36.34848022
4/9/2015,47.27402115,37.53881454,55.07171249,84.36727905,95.27005005,96.7617569,34.09104538,58.09367371,124.1233826,36.81825256
4/10/2015,47.31772232,37.56510925,55.17998505,84.37473297,95.21818542,96.9990921,34.15746689,58.04921341,125.1941223,36.74275208
4/13/2015,47.33521271,37.34608841,54.8302002,84.25591278,95.25276947,96.55960846,33.97476578,58.13813782,124.7404175,36.61691666
4/14/2015,47.3789444,37.51254272,55.23828125,84.35242462,95.20956421,96.88480377,34.23221588,58.25368118,124.8311386,36.71757889
4/15/2015,47.41391373,37.77535248,55.48810959,84.48615265,95.31326294,97.73739624,34.38999557,58.28924561,125.1124115,36.93569183
4/16/2015,47.33521271,38.07320786,55.63800812,84.30045319,95.27005005,97.36823273,34.47304916,58.32480621,125.148735,37.27124405
4/17/2015,47.35269928,37.40740967,54.93846893,84.18911743,95.33920288,96.6914444,34.05780792,58.35146713,124.0326309,36.50786591
4/20/2015,47.29150391,37.37236786,54.99677658,83.9885788,95.26140594,97.31551361,34.11595535,58.32480621,124.7404175,36.39041519
4/21/2015,47.21279526,37.59138107,55.48810959,84.06285858,95.20088959,96.56840515,34.40662003,58.25368118,125.6477737,36.67564392
4/22/2015,47.12538147,37.99437332,55.5963707,84.36727905,95.0539856,96.79692078,34.48135757,58.02254105,125.7476501,37.10346985
4/23/2015,47.09914017,38.27470016,55.80456924,84.56038666,95.01076508,97.18364716,34.63084793,58.16478729,126.3918686,37.28802109
4/24/2015,47.26528168,38.41487122,56.1293602,84.73860168,95.13178253,97.77253723,34.82184982,58.28035736,125.9381561,37.47257614
4/27/2015,47.23029327,38.563797,56.40417099,84.83512878,95.06263733,98.34384918,34.95472717,58.26257324,123.4065094,37.63196182
4/28/2015,47.18658447,38.62511826,56.47078705,84.77570343,94.97621918,98.59873199,35.01285934,58.07589722,123.6696701,37.72423172
4/29/2015,46.8193779,38.14329147,55.97945404,84.24105835,94.82064819,98.39658356,34.70558548,57.93366241,122.6715317,37.32157516
4/30/2015,46.7581749,37.56510925,55.38817596,84.00343323,94.69968414,97.64069366,34.35678864,57.99588776,120.5300446,36.82664108
5/1/2015,46.75904083,37.79287338,56.00442123,84.08687592,94.51345062,99.23157501,34.64745331,57.73418427,122.1724701,37.04475403
5/4/2015,46.61898422,38.0118866,55.94614029,83.96768951,94.52213287,99.02941895,34.68067169,57.7430954,123.0344849,37.22930527
5/5/2015,46.45269775,37.60013199,55.11334991,83.8409729,94.45281219,97.86921692,34.15746689,57.6629715,121.4374619,36.84341431
5/6/2015,46.19884109,37.13582993,55.2549324,83.81858826,94.10642242,97.93954468,34.23221588,57.52944183,121.2650528,36.35686874
5/7/2015,46.32136917,37.08326721,55.07171249,83.69190216,94.34892273,98.32627106,34.11595535,57.57397461,121.900238,36.30654907
5/8/2015,46.41767883,37.55633545,56.3458786,84.15395355,94.32292175,99.63587189,34.85507965,57.78759003,123.8602295,36.86019135
5/11/2015,46.28637314,37.197155,55.85453033,83.76643372,93.99383545,99.30190277,34.54779434,57.5116539,123.896492,36.50786591
5/12/2015,46.07629776,37.07450867,55.82121658,83.31925964,94.15839386,98.35264587,34.54779434,57.50276947,123.3702087,36.40720749
5/13/2015,46.00627518,37.1445961,56.23760986,83.40869904,93.99383545,98.38779449,34.79693985,57.52944183,123.2885437,36.4994812
5/14/2015,46.00627518,37.51254272,56.91215515,83.68443298,94.11507416,99.50403595,35.21218109,57.6629715,124.9037018,36.84341431
5/15/2015,46.26887512,37.80163193,56.97878265,84.10179901,94.16702271,99.69740295,35.25370026,57.85879517,125.1850281,37.22091675
5/18/2015,46.19006348,37.4161644,56.78725052,83.88566589,93.8552475,99.6095047,35.13743973,57.6629715,126.083374,36.86019135
5/19/2015,46.28637314,37.4774971,56.57072067,83.4757843,93.75133514,99.09971619,35.00457001,57.44042587,126.655014,36.94408035
5/20/2015,46.23383713,37.45121384,56.67898178,83.55031586,93.76003265,99.04698944,35.07099152,57.58285904,126.9635391,36.89375305
5/21/2015,46.22509766,37.31980515,56.97878265,83.99744415,94.05445099,99.36340332,35.26200104,57.716362,126.8908997,36.78469467
5/22/2015,46.24259949,37.44245529,56.61236572,84.10923004,93.89855957,99.17881775,35.04609299,57.61846161,126.6912994,36.8769722
5/26/2015,46.37391281,36.84673309,55.5963707,83.87823486,94.037117,97.95713043,34.45644379,57.80540848,125.5933609,36.33171082
5/27/2015,46.39142227,36.85549545,56.13768005,83.72919464,94.10642242,98.63388062,34.74710846,57.76978683,127.0451736,36.42398071
5/28/2015,46.41767883,36.3736763,56.0377388,83.4981308,94.09774017,98.76572418,34.6723671,57.84989166,127.0724411,35.91226196
5/29/2015,46.51395035,36.02324677,55.49642944,83.74407959,94.23631287,98.13288879,34.34017181,57.9478035,126.8727875,35.51799774
6/1/2015,46.41846085,35.88308334,55.34653473,83.27953339,94.11396027,98.15925598,34.25713348,57.70357895,127.1994781,35.492836
6/2/2015,46.21695709,36.02324677,55.60469055,83.16735077,93.78414917,98.56356812,34.37340164,57.48968506,126.5279999,35.61865616
6/3/2015,45.91028595,35.83928299,55.91283035,82.87561798,93.69734192,98.844841,34.5727005,57.24902344,126.8274612,35.44249344
